Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Детские сады,Подпись 1,Общеобразовательные школы,Подпись 2,"Парки, скверы",Подпись 3,Медицинские центры,Подпись 4,Салоны красоты,Подпись 5,Порядок
ADCB,adcb,62e165885f812e9e4ee3a10f,62e24aa66c809f60e25514a6,Thu Jul 28 2022 08:36:54 GMT+0000 (Coordinated Universal Time),Thu Jul 28 2022 08:36:54 GMT+0000 (Coordinated Universal Time),Mon Aug 01 2022 04:56:10 GMT+0000 (Coordinated Universal Time),,,,,,,,,,,
Al Khail,al-khail-2,62e165885f812e9e4ee3a10f,62e25364bdc1fba1a0154ba3,Thu Jul 28 2022 09:14:12 GMT+0000 (Coordinated Universal Time),Thu Jul 28 2022 09:14:12 GMT+0000 (Coordinated Universal Time),Mon Aug 01 2022 04:56:10 GMT+0000 (Coordinated Universal Time),,,,,,,,,,,
Al Safa,al-safa,62e165885f812e9e4ee3a10f,62e75ffacd2d342a7a18182c,Mon Aug 01 2022 05:09:14 GMT+0000 (Coordinated Universal Time),Mon Aug 01 2022 05:09:14 GMT+0000 (Coordinated Universal Time),Mon Aug 01 2022 05:13:19 GMT+0000 (Coordinated Universal Time),,,,,,,,,,,
Buisness Bay,buisness-bay,62e165885f812e9e4ee3a10f,62e7777943e47b78cb775bb4,Mon Aug 01 2022 06:49:29 GMT+0000 (Coordinated Universal Time),Mon Aug 01 2022 06:49:29 GMT+0000 (Coordinated Universal Time),Mon Aug 01 2022 06:53:38 GMT+0000 (Coordinated Universal Time),,,,,,,,,,,
Burj Khalifa-Dubai Mall,burj-khalifa-dubai-mall,62e165885f812e9e4ee3a10f,62e7739de1a61c2b040358f7,Mon Aug 01 2022 06:33:01 GMT+0000 (Coordinated Universal Time),Mon Aug 01 2022 06:33:01 GMT+0000 (Coordinated Universal Time),Mon Aug 01 2022 06:53:38 GMT+0000 (Coordinated Universal Time),,,,,,,,,,,
Dubai Creek Harbour,dubai-creek-harbour,62e165885f812e9e4ee3a10f,63381e320a949570a43691b8,Sat Oct 01 2022 11:02:10 GMT+0000 (Coordinated Universal Time),Sat Oct 01 2022 11:02:10 GMT+0000 (Coordinated Universal Time),Sat Oct 01 2022 17:12:26 GMT+0000 (Coordinated Universal Time),,,,,,,,,,,
Golf City,golf-city,62e165885f812e9e4ee3a10f,62e7993b44765e5ef4606604,Mon Aug 01 2022 09:13:31 GMT+0000 (Coordinated Universal Time),Mon Aug 01 2022 09:13:31 GMT+0000 (Coordinated Universal Time),Mon Aug 01 2022 10:26:44 GMT+0000 (Coordinated Universal Time),,,,,,,,,,,
JBR,jbr,62e165885f812e9e4ee3a10f,63381b5c1588e22534d28bd9,Sat Oct 01 2022 10:50:04 GMT+0000 (Coordinated Universal Time),Sat Oct 01 2022 10:50:04 GMT+0000 (Coordinated Universal Time),Sat Oct 01 2022 17:12:26 GMT+0000 (Coordinated Universal Time),,,,,,,,,,,
Jumeirah,jumeirah,62e165885f812e9e4ee3a10f,62e77566eb6f4a68a516c9db,Mon Aug 01 2022 06:40:38 GMT+0000 (Coordinated Universal Time),Mon Aug 01 2022 06:40:38 GMT+0000 (Coordinated Universal Time),Mon Aug 01 2022 06:53:38 GMT+0000 (Coordinated Universal Time),,,,,,,,,,,
Map,mapjlt,62e165885f812e9e4ee3a10f,62e75e032cf39710ae6331aa,Mon Aug 01 2022 05:00:51 GMT+0000 (Coordinated Universal Time),Sat Oct 01 2022 17:11:59 GMT+0000 (Coordinated Universal Time),Sat Oct 01 2022 17:12:26 GMT+0000 (Coordinated Universal Time),,,,,,,,,,,
Mohammad Bin Rashid City,mohammad-bin-rashid-city,62e165885f812e9e4ee3a10f,62e791b95d996493f5fa3eb2,Mon Aug 01 2022 08:41:29 GMT+0000 (Coordinated Universal Time),Mon Aug 01 2022 08:41:29 GMT+0000 (Coordinated Universal Time),Mon Aug 01 2022 09:03:17 GMT+0000 (Coordinated Universal Time),,,,,,,,,,,
Saadiyat,saadiyat,62e165885f812e9e4ee3a10f,633d4acfec957e6e768548c0,Wed Oct 05 2022 09:13:51 GMT+0000 (Coordinated Universal Time),Wed Oct 05 2022 09:13:51 GMT+0000 (Coordinated Universal Time),Wed Oct 05 2022 09:24:11 GMT+0000 (Coordinated Universal Time),,,,,,,,,,,
Sobha Hartland,sobha-hartland,62e165885f812e9e4ee3a10f,62e25b5d8d35dcca7f874f72,Thu Jul 28 2022 09:48:13 GMT+0000 (Coordinated Universal Time),Thu Jul 28 2022 09:48:13 GMT+0000 (Coordinated Universal Time),Mon Aug 01 2022 04:56:10 GMT+0000 (Coordinated Universal Time),,,,,,,,,,,
