Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Перевод названия,Area,Contact,Clicks Amount,Price per meter,Price,Address,District,Metro,Yandex Adres Link,Available areas,Lots Number,Min square,Max square,Краткая фраза,Description,Тип недвижимости,Tittle Image,Second Image,Logo,Presentation,photos,Порядок на главной странице
1 Residences,1-residences,62e165885f812e7893e3a10e,62e24c1edded8550c6493694,Thu Jul 28 2022 08:43:10 GMT+0000 (Coordinated Universal Time),Wed Oct 05 2022 09:21:59 GMT+0000 (Coordinated Universal Time),Wed Oct 05 2022 09:24:11 GMT+0000 (Coordinated Universal Time),1 Резиденция,adcb,milchakova-svetlana,0,2 285 695,23 420 000," Al Wasl, Дубай, ОАЭ",-,-,https://api-maps.yandex.ru/services/constructor/1.0/js/?um=constructor%3Ad0481f673df0cac21e80b3da07a48e3a06bccf0564a83b04104870f39aa48409&amp;width=100%25&amp;height=400&amp;lang=ru_RU&amp;scroll=true,от 82 до 188 ,291,82,188,"НОВЫЙ КОМПЛЕКС 1 RESIDENCES, РАСПОЛОЖЕННЫЙ В НЕСКОЛЬКИХ ШАГАХ ОТ ПАРКА ZABEEL В ДУБАЕ","<p id="""">Эти прибрежные апартаменты, окруженные со всех сторон чистейшими водами, занимают видное место на Западном полумесяце Пальмы Джумейра. W Residences Dubai предлагает один из самых престижных адресов в мире. К услугам гостей 104 уникальных апартамента, расположенных в восьми величественных особняках с беспрепятственным, захватывающим видом на Персидский залив, знаменитый горизонт Дубая и Дубай Марина.</p><p id="""">Вершину Пальмы венчают пять фирменных роскошных пентхаусов, которые меняют понятие простора благодаря панораме на 360 °. </p><p>‍</p>",Апартаменты,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e24b8221100d6314dcaae9_Balcony-of-a-luxury-waterfront-apartment-633x422-c-default.jpg,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e24b8841a69a0ab3b4b907_Location-of-W-Residences-Dubai-633x422-c-default.jpg,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e7a3c57fa074acb70eab37_1_residences.svg,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e24b93f2523732cde669f3_1%20residences.pdf,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e24b87826ffbe1cb1bac45_Interior-of-a-luxury-panorama-penthouse-633x422-c-default.jpg; https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e24b888cb887b593889776_Interior-of-a-luxury-waterfront-penthouse-633x422-c-default.jpg; https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e24dfb71ed51d2a0e2484e_file-1.png; https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e24dfb74e6f47cf60082f8_file-2.png; https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e24dfb3ba69f578d3cdb7f_file-3.png,
Address Villa,address-villa,62e165885f812e7893e3a10e,63381d1aad6a6d7eaef6f45c,Sat Oct 01 2022 10:57:30 GMT+0000 (Coordinated Universal Time),Sat Oct 01 2022 17:29:16 GMT+0000 (Coordinated Universal Time),Sat Oct 01 2022 17:29:31 GMT+0000 (Coordinated Universal Time),Адрес Вилла,jbr,milchakova-svetlana,0,по запросу ,по запросу ,ADDRESS RESIDENCES JUMEIRAH RESORT + SPA,-,-,https://api-maps.yandex.ru/services/constructor/1.0/js/?um=constructor%3A7157d163ffa9db6ffa30c9088ef5166c35599261da50799ce0ebfc8792a6e2b5&amp;width=100%25&amp;height=400&amp;lang=ru_RU&amp;scroll=true,от 648 до 1003 ,по запросу ,648,1003,САМАЯ ВЫСОКАЯ БРЕНДОВАЯ РЕЗИДЕНЦИЯ в Jumeirah с инфинити-бассейнами и неповторимым видом на Дубай Марину,"<p id="""">ПОДРОБНАЯ ИНФОРМАЦИЯ</p><p id="""">Ключевые особенности The Villa</p><p id="""">The Villa – относительно новое сообщество, которое с каждым годом становится все более популярным среди местных жителей, экспатов и инвесторов. Район состоит из 1800 готовых вилл и участков.</p><p id="""">В сообществе есть все необходимые удобства для комфортного проживания. На районе есть общественный центр с множеством магазинов, спортивных учреждений, салонов красоты и многое другое. Поскольку район расположен вдали от центра города, это экологически чистое место с безупречно чистым воздухом. Для приятного времяпровождения с семьей и друзьями есть также множество удобств, таких как площадки для барбекю, теннисные корты, детские площадки, зеленые парки.</p><p id="""">Вилла состоит из 4 частей: Ponderosa, Hacienda, The Aldea и Centro. Каждое подсообщество имеет собственную развитую инфраструктуру, и каждый здесь может найти то, что будет полностью соответствовать всем требованиям.</p>",Апартаменты,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/63381c9bc2d6b0e4b4884919_4.jpg,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/63381ca1c1e3e860b3692054_5.jpg,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/633878e54ca19607877d8856_ADDRES_VILLASS.svg,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/63381cd8c6e89f9899974bf8_Address%20Villa%20Brochure_compressed.pdf,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/63381cabcfac2842da0ed47d_1.jpg; https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/63381cabad6a6d6e68f6f2da_2.jpg; https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/63381cab7d3b9022448b8575_6.jpg; https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/63381cab7d3b9060a18b8576_7.jpg; https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/63381caba3f8a5071c983cd8_8.jpg,
Ahad Residences,ahad-residences,62e165885f812e7893e3a10e,62e79527a4ba52bfefa08689,Mon Aug 01 2022 08:56:07 GMT+0000 (Coordinated Universal Time),Mon Aug 01 2022 10:11:41 GMT+0000 (Coordinated Universal Time),Mon Aug 01 2022 10:26:44 GMT+0000 (Coordinated Universal Time),,buisness-bay,milchakova-svetlana,0,305 876,11 930 945,Ahad Residences,-,-,https://api-maps.yandex.ru/services/constructor/1.0/js/?um=constructor%3A3a390538d4883cf95e732521689f637fb8771dfd7dd5702f05f35f1c3bba0a6e&amp;width=100%25&amp;height=400&amp;lang=ru_RU&amp;scroll=true,от 39 до 238 ,348,39,238,ДОБРО ПОЖАЛОВАТЬ В AHAD RESIDENCES!,"<p id="""">Ahad Residences - это 30-этажное жилое здание, расположенное в самом сердце Бизнес-Бэй. В нем представлены студии, апартаменты с 1, 2 и 3 спальнями. Ahad предлагает уникальный опыт проживания, позволяющий жителям быть частью яркого, современного и динамичного сообщества.Этот проект разрабатывается AHAD Group, а подрядчиком является известный, авторитетный сингапурский застройщик по имени Эван Лим-Пента, который активно участвует в проекте. Они построили несколько высококлассных проектов в Дубае, в том числе Sofitel Palm Jumeirah и Saba Tower в JLT. Недавно они были отмечены за работу над павильонами Сингапура, Нидерландов и Швеции на Экспо 2020.</p>",Апартаменты,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e794f82fdfe12f9182ebf9_businessbayskyviewnew.jpg,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e795025425ba5d53ae2509_Ahad-Residences-at-Business-Bay-Exterior-1024x632.jpg,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e7a5ca6a8c953dbe31a9b0_AHAD.svg,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e794e02fdfe14c8582eb7f_Ahad-Brochure.pdf,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e7950aa4ba524464a085ae_Ahad-Residences-at-Business-Bay-Amenities-1024x620.jpg; https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e79509dd3aac240c31d698_Ahad-Residences-at-Business-Bay-living-1024x599.jpg; https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e79509ab6135eaa1283453_Ahad-Residences-at-Business-Bay-Lobby-1024x594.jpg; https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e79509ab613583f9283452_Bedroom-View-04-640x534.jpg; https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e7951966a82352d6e8c6f2_Cam_3-min-483x640.jpg,1
AVA AT PALM,ava-at-palm,62e165885f812e7893e3a10e,62e251c9dd8c3997f8c46a84,Thu Jul 28 2022 09:07:21 GMT+0000 (Coordinated Universal Time),Mon Aug 01 2022 10:13:31 GMT+0000 (Coordinated Universal Time),Mon Aug 01 2022 10:26:44 GMT+0000 (Coordinated Universal Time),АВА НА Палм,al-khail-2,milchakova-svetlana,0,по запросу,3 726 500 000,"Palm Jumeirah, Дубай, ОАЭ",-,-,https://api-maps.yandex.ru/services/constructor/1.0/js/?um=constructor%3Aa6d2d5e2932aeaa01546f5cd0cd6d15b01a57dabd4fdb354a430ed9dffd8a9a6&amp;width=100%25&amp;height=400&amp;lang=ru_RU&amp;scroll=true,от 10 до 3066,17,10,3066,Комплекс элитных РЕЗИДЕНЦИЙ!,"<p id="""">Комплекс элитных жилых резиденций AVA at Palm Jumeirah был запущен в 1 квартале 2022 года одной из крупнейших компаний элитной недвижимости в Дубае — OMNIYAT. На протяжении всего долгожданного проекта основным элементом является водная стихия, поскольку главный вход в комплекс оформлен бескрайними водоёмами, которые пересекаются друг с другом, создавая впечатление единства здания с окружающим Персидским заливом. В AVA at Palm Jumeirah представлено всего 17 эксклюзивных резиденций, среди которых апартаменты с 3 и 4 спальнями, а также 1 дуплекс и 1 пентхаус. Интерьеры резиденций будут спроектированы Portia Fox Design и объединят в себе тщательную проработку технических деталей и пытливый творческий подход.Ультрасовременные апартаменты с 3 и 4 спальнями с видом на потрясающий Burj Al Arab и Ain Dubai будут иметь площадь от 6 60 до 813 кв. м. В них будет оборудован частный бассейн, личный лифт, комната для прислуги и семейная зона отдыха. Помимо этого, для максимального удобства жильцов на каждую единицу недвижимости будет выделено 3 парковочных места. </p>",Апартаменты,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e2508ff330994fceade712_ava-at-palm-jumeirah-2.jpg,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e25091dded85bcd4498b75_ava-at-palm-jumeirah-6-1.jpg,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e7a3e861c5fa94db610c4d_avani_palm.png,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e25145ca29dd26b0133d6b_AVA%20AT%20PALM_prezent-min.pdf,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e250853ba69f322e3d02ca_ava-at-palm-jumeirah-3.jpg; https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e250853ba69f5c023d02c9_ava-at-palm-jumeirah-4.jpg; https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e250852c5abcbd9b24bf09_ava-at-palm-jumeirah-5.jpg; https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e250844a47bc375ce8bc4a_ava-at-palm-jumeirah-8.jpg; https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e2508575f2c72c4c2f3a16_ava-at-palm-jumeirah-10.jpg,
Avani Palm View Dubai Hotel & Suites,avani-palm-view-dubai-hotel-suites,62e165885f812e7893e3a10e,62e2587b92b705915e15fb6a,Thu Jul 28 2022 09:35:55 GMT+0000 (Coordinated Universal Time),Mon Sep 19 2022 19:27:58 GMT+0000 (Coordinated Universal Time),Mon Sep 19 2022 19:28:15 GMT+0000 (Coordinated Universal Time),Авани Палм,al-khail-2,milchakova-svetlana,0,328 019,33 130 000,На въезде на остров Palm Jumeirah,-,-,https://api-maps.yandex.ru/services/constructor/1.0/js/?um=constructor%3A20e5695f5b93f5083682b79c81ca90d25393cdfa1dae0fccb091bef72d92a846&amp;width=100%25&amp;height=400&amp;lang=ru_RU&amp;scroll=true,от 107 до 481 ,9,107,481,Апартаменты у моря.,"<p id="""">Элитные апартаменты на искусственном острове Palm Jumeirah</p><p id="""">Palm View на искусственном острове Palm Jumeirah, предлагает готовые к проживанию апартаменты с 1-3 спальнями, а также возможностью индивидуальной отделки в соответствии с требованиями заказчика. Из окон открывается вид на Персидский залив, панораму города и Golf Views.</p><p id="""">Avani Palm View - это многофункциональное 48-этажное здание, расположенное в районе Al-Sufouh, на въезде на остров Palm Jumeirah. Проект был запущен в 2018 году, компанией Al-Fahim, и насчитывает 264 единицы недвижимости,а именно апартаменты с 1-3 спальнями. Все апартаменты готовы к заселению, оформлены в светлых тонах, с мраморными полами, полностью оборудованными кухнями, панорамными окнами и собственными балконами.</p><p>Вне зависимости от того, планируете Вы проживание с семьей или без, для жителей открыт доступ к высококачественным услугам и удобствам, некоторые из которых включают: кафе и круглосуточный ресторан, бар у бассейна, совместный тренажерный зал, паркинг, круглосуточную охрану, а также возможность индивидуальной отделки недвижимости</p>",Апартаменты,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e2545cfa17bdc83486690c_avani-palm-view-dubai-exterior-shot---main-hotel-shot.jpg,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e7a3e861c5fa94db610c4d_avani_palm.png,,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e25145ca29dd26b0133d6b_AVA%20AT%20PALM_prezent-min.pdf,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e2546d522b0d72a61237a4_avani-two-bedroom-seaview-apartment-living-room.jpg; https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e2546f115aaa993ba09c4e_palm-view-9.jpg; https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e2546e21100dd020dcee28_RL629-Avani-Palm-View-Hotel-Suites-Dubai-Media-City-Dubai-13_890x440.jpg; https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e2546e74e6f49c1600c3fe_Screenshot_1.jpg,
Cavalli Tower,cavalli-tower,62e165885f812e7893e3a10e,62e796c343e47be24c78d770,Mon Aug 01 2022 09:02:59 GMT+0000 (Coordinated Universal Time),Mon Aug 01 2022 10:11:48 GMT+0000 (Coordinated Universal Time),Mon Aug 01 2022 10:26:44 GMT+0000 (Coordinated Universal Time),Кавали,buisness-bay,milchakova-svetlana,0,361 048,29 244 917,Cavalli Tower,-,-,https://api-maps.yandex.ru/services/constructor/1.0/js/?um=constructor%3Adb25f32e6f6c36703c721bb239eda01f104a53b01640cf1209d893ce8107b486&amp;width=100%25&amp;height=400&amp;lang=ru_RU&amp;scroll=true,от 81 до 172 ,484,81,172,Башня Cavalli Tower разделена на типы квартир Luxury и Upper Luxury ,"<p id="""">Привнося гламур и блеск подиума в частные дома, Cavalli Tower является результатом знакового сотрудничества между удостоенным наград застройщиком DAMAC Properties и всемирно известным модельером Роберто Кавалли. Фактически, это на сегодняшний день единственная в мире башня под брендом Cavalli, которая произведет фурор среди любителей ультрароскошной недвижимости.</p><p id="""">Грандиозный комплекс будет состоять из 70 уровней, где интерьеры будут выполнены по эксклюзивному концепту от итальянского бренда Cavalli. Автором конусообразной архитектурной концепции является Шон Килла, известный своим инновационным дизайном долгожданного Музея будущего в Дубае. У покупателей недвижимости есть привлекательная возможность выбрать из коллекции фирменных 2-5-комнатных квартир с видом на Персидский залив, а также пентхаусов различной планировки и площади.</p>",Апартаменты,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e7967f69c3f325ddca98e8_DAMAC-Cavalli-Tower-Exteriors-2.jpg,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e7968469c3f36cd1ca994e_DAMAC-Cavalli-Tower-Exteriors-3.jpg,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e7a3f59bf0f45d8689c151_cavalli_tower.svg,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e79678dd3aacb7f631e286_CAVALLI-Tower-new-super-luxury.pdf,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e7968d2fdfe1b64182f592_DAMAC-Cavalli-Tower-Exteriors-4.jpg; https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e79692559876ff0c191c54_DAMAC-Cavalli-Tower-Exteriors-5.jpg; https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e7968fc2321dca1c8d2922_DAMAC-Cavalli-Tower-Exteriors-6.jpg; https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e79692559876570a191c55_DAMAC-Cavalli-Tower-Exteriors-7.jpg; https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e7969069c3f3d8acca9ad8_DAMAC-Cavalli-Tower-Exteriors-8.jpg,2
Creek Rise,creek-rise,62e165885f812e7893e3a10e,63381e69be228e7e2ace9021,Sat Oct 01 2022 11:03:05 GMT+0000 (Coordinated Universal Time),Sat Oct 01 2022 17:29:02 GMT+0000 (Coordinated Universal Time),Sat Oct 01 2022 17:29:31 GMT+0000 (Coordinated Universal Time),Грик Райз,dubai-creek-harbour,milchakova-svetlana,0,3 878,от 283 145,"Дубай-Крик Харбор, Дубай",-,-,https://api-maps.yandex.ru/services/constructor/1.0/js/?um=constructor%3Af19a0f8774e56fc4461fc1374e524199b559d18dcbb3555fac00e4cb3d382e5d&amp;width=100%25&amp;height=400&amp;lang=ru_RU&amp;scroll=true,до 73 от 214 ,по запросу,73,214,"ГДЕ СЛИВАЮТСЯ ЖИЗНЬ, РОСКОШЬ И ОТДЫХ","<p id="""">Creek Rise ‒ строящийся комплекс премиму-класса, состоящий из двух башен в Dubai Creek Harbour. Он является совместным предприятием Emaar Properties и государственного застройщика Dubai Holding. Строительство комплекса было запущено в июне 2017 года и завершено в 2020 году. Архитектор проекта ‒ DAR Consult.</p><p id="""">Creek Rise состоит из двух отдельно стоящих жилых башен:</p><p id="""">- Creek Rise Tower 1 высотой в 36 этажей;</p><p id="""">- Creek Rise Tower 2 — 46 этажей.</p><p id="""">Недвижимость сообщества представлена апартаментами с 1-3 спальнями с панорамным видом на Dubai Creek Tower, пляж Creek Beach, парковую зону и горизонт современного Дубая. Экстерьер всех резиденций выполнен в современном стиле с применением светлых песочных оттенков. Во всех апартаментах предусмотрены оборудованные кухни и кладовые. </p>",Апартаменты,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/63381e551588e24fc4d2a18e_CREEK_ISLAND.jpg,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/63381e593b99ec1e585ef6ab_CREEK_RISE_BALCONY.jpg,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/633878dbc2d6b0abee8cd0e9_CREEK_RISE.svg,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/63381e62dcea695b6a17b9ff_Creek%20Rise_compressed.pdf,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/63381e551588e24fc4d2a18e_CREEK_ISLAND.jpg; https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/63381e5fad6a6d90c1f6f737_CREEK_RISE_AMENITIES.jpg; https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/63381e593b99ec1e585ef6ab_CREEK_RISE_BALCONY.jpg; https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/63381e5fc3205195611cbb9c_CREEK_RISE_BEDROOM.jpg; https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/63381e5fab4d88e7fa050506_CREEK_RISE_LIVING_ROOM-1620x832.jpg,
CREST,crest,62e165885f812e7893e3a10e,62e25de136a7cf2d9e1eecb8,Thu Jul 28 2022 09:58:57 GMT+0000 (Coordinated Universal Time),Mon Aug 01 2022 10:11:58 GMT+0000 (Coordinated Universal Time),Mon Aug 01 2022 10:26:44 GMT+0000 (Coordinated Universal Time),Крест,sobha-hartland,milchakova-svetlana,0,285 229,24 815 000 ,CREST Grande,-,-,https://api-maps.yandex.ru/services/constructor/1.0/js/?um=constructor%3Af0ad605d3cd775f9d0b59b4ff3a8ceb4c6a6a06ca69c865229d756dec5ea94be&amp;width=100%25&amp;height=400&amp;lang=ru_RU&amp;scroll=true,от 87 до 218 ,263,87,218,"Crest Grande — новый проект с апартаментами в Sobha Hartland, на берегу лагуны.","<p id=""""><strong id="""">The Crest Grande</strong> — это новый жилой проект в Sobha Hartland, очень популярном районе с элитной недвижимостью. Комплекс предлагает апартаменты с 1, 2, 3 и 4-мя спальнями. В настоящее время проект находится в стадии строительства, ориентировочная дата завершения — 4 кв 2025 год.</p><p id=""""><strong id="""">The Crest Grande</strong> — это жизнь у кристально чистой лагуны и множество удобств, расположенных на береговой линии в самом сердце Дубая!<br>Стильный, элегантный и космополитичный образ жизни в центре Дубая, с отдыхом в курортном стиле в окружении нетронутой природы и воды, а также потрясающим видом на горизонт Дубая и самую большую в мире башню, наслаждение набережной, которая является эксклюзивной для жителей сообщества Sobha Hartland.</p><p id="""">Выгодное расположение, самодостаточная инфраструктура — делают <strong id="""">The Crest Grande</strong> &nbsp;прекрасным местом для жизни, как для молодых пар, так и для семей с детьми.</p><p id=""""><strong id="""">Месторасположение:</strong></p><p id="""">· &nbsp; &nbsp; &nbsp;<strong id="""">1 минута</strong> &nbsp;Пляж лагуны</p><p id="""">· &nbsp; &nbsp; &nbsp;<strong id="""">15 минут</strong> &nbsp;Пляж La Mer</p><p id="""">· &nbsp; &nbsp; &nbsp;<strong id="""">10 минут</strong> &nbsp;Бурдж Халифа /ТЦ Дубай Молл</p><p id="""">· &nbsp; &nbsp; &nbsp;<strong id="""">25 минут</strong> &nbsp;Дубай Марина</p><p id="""">· &nbsp; &nbsp; &nbsp;<strong id="""">27 минут</strong> &nbsp;Отель Парус</p><p id="""">· &nbsp; &nbsp; &nbsp;<strong id="""">1 минута </strong> ТЦ Мейдан</p><p id="""">· &nbsp; &nbsp; &nbsp;<strong id="""">27 минут </strong> Остров Пальма</p>",Апартаменты,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e25dabcbbc5d93f84e8272_file-5.png,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e25db1669ff1814b8d4744_file-4.png,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e7a406b7595e22fc0b9d20_CREST.svg,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e25c72af1c89568a89b8cf_crest_grand_ru.pdf,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e25c990ac3f92c47980682_1BR.jpg; https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e25c9a28e2756c058f65f9_2BR.jpg; https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e25dbacbbc5df3284e844f_file-1.png; https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e25db68cb0f31d657346eb_file-2.png; https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e25db6c86c95bf411580d1_file-3.png,3
Ellington Beach House ,ellington-beach-house,62e165885f812e7893e3a10e,633d44b85714e782ef07c2e2,Wed Oct 05 2022 08:47:52 GMT+0000 (Coordinated Universal Time),Wed Oct 05 2022 08:48:49 GMT+0000 (Coordinated Universal Time),Wed Oct 05 2022 09:24:11 GMT+0000 (Coordinated Universal Time),Элитон,adcb,milchakova-svetlana,0,776 219,72 192 553,"Пальма Джумейра, Дубай",-,-,https://api-maps.yandex.ru/services/constructor/1.0/js/?um=constructor%3A907f9c26abce0a1180a270691b278baea2cc7995067990643b4e2719aa2be937&amp;width=100%25&amp;height=400&amp;lang=ru_RU&amp;scroll=true,от 93 до 350 ,по запросу,93,350,Ellington Beach House — старт продаж апартаментов и пентхаусов на Пальме Джумейра,"<p id="""">Недвижимость в Ellington Beach House, Дубай, ОАЭ</p><p id="""">В новом жилом комплексе будут представлены люксовые апартаменты и пентхаусы с роскошной внутренней отделкой.</p><p id="""">Будущие жители бутик-комплекса будут иметь доступ к удобствам премиального уровня, среди которых:</p><p id="""">частный пляж;</p><p id="""">огромный бассейн-инфинити площадью 400 м2 с уютными беседками, шезлонгами и баром;</p><p id="""">бассейн с гидротерапией;</p><p id="""">бассейн для детей;</p><p id="""">зеленые зоны для отдыха и прогулок;</p><p id="""">спа-салон с широким спектром услуг;</p><p id="""">рестораны и кафе;</p><p id="""">клубный дом с зоной отдыха, баром, кухней, столовой и открытой террасой;</p><p id="""">площадка для игры в баскетбол;</p><p id="""">теннисный корт;</p><p id="""">просторный вестибюль при входе в комплекс;</p><p id="""">оборудованные места для настольных игр.</p><p id="""">Продажа недвижимости в Ellington Beach House</p>",Апартаменты,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/633d43fb07a27471d0329115_Palm2.jpg,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/633d4402e4c2cf6023629775_nMKdonnnFN.jpg,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/633d44ef043f830e5c74180b_ELLINGTON_BEACH_HOUSE.svg,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/633d4415eca20e297aa1fe07_Ellington%20Beach%20House.pdf,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/633d440b08f2a986b0337835_ex33.jpg; https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/633d440b52946286a9412e1d_HZoBcwBNpk.jpg; https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/633d440be4c2cfcdd7629790_KJioicjjil.jpg; https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/633d440beca20ee3eda1fdc2_KOlZvmStWG.jpg; https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/633d440b5443fd12276e49cf_WhatsApp_Image_2022-.jpeg,
Lagoons,lagoons,62e165885f812e7893e3a10e,62e7a0c384e678fad333a2fb,Mon Aug 01 2022 09:45:39 GMT+0000 (Coordinated Universal Time),Mon Aug 01 2022 10:12:04 GMT+0000 (Coordinated Universal Time),Mon Aug 01 2022 10:26:44 GMT+0000 (Coordinated Universal Time),Лагунс,golf-city,milchakova-svetlana,0,по запросу,23 359 148,Lagoons,-,-,https://api-maps.yandex.ru/services/constructor/1.0/js/?um=constructor%3A8c099fe1480722042b5ef9bfc0d45cac8da612227b7f4af0a2c56fb7675e58b0&amp;width=100%25&amp;height=400&amp;lang=ru_RU&amp;scroll=true,от 10,10,10,10000,"Lagoons - новый масштабный жилой комплекс премиум-класса на берегу искусственной лагуны в престижном районе Golf City в Дубае, рядом с гольф-полем.","<p id=""""><strong id="""">Lagoons</strong> - новый масштабный комплекс недвижимости премиум-класса, расположен среди пышной зелени живописных лагун нового района Golf City в Дубае, в 15 минутах езды от Dubai Marina и пляжей Персидского залива. Комплекс имеет беспрепятственный доступ к ключевым автомагистралям Дубая, включая Mohammed Bin Zayed Road, Hessa Street, Emirates Road и Al Khail Road.</p><p id="""">Комплекс включает широкий спектр таунхаусов с 4 и 5 спальнями и отдельных вилл, а также ограниченную коллекцию резиденций с 3 спальнями, окруженных красивыми кристальными лагунами. По словам генерального застройщика, новый проект планирует быть такого же размера, как и соседнее популярное сообщество Dамас Hills, площадь которого составляет 42 млн кв. ф.</p>",Апартаменты,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e7a04c80469b0892f51d93_file-2.png,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e7a04db3587b60b3355335_file-3.png,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e7a538bd9b80755e95d7c2_damac_lagoons.svg,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e79304f33610a0303b62a9_prezent-compressed.pdf,https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e7a04416ec36a847817fcc_file-1.png; https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e7a0443c2593536f0a8db8_file-4.png; https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e7a04443187d24c1ee92f2_file-6.png; https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e7a044bd9b806e66959953_file-7.png; https://uploads-ssl.webflow.com/62e165885f812ea553e3a10b/62e7a0445864407665a29ffd_file-5.png,4
