Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Перевод названия,Area,Contact,Clicks Amount,Price per meter,Price,Address,District,Metro,Yandex Adres Link,Available areas,Lots Number,Min square,Max square,Краткая фраза,Description,Тип недвижимости,Tittle Image,Second Image,Logo,Presentation,photos,Порядок на главной странице
1 Residences,1-residences,6301e3259dfcf8460a3dbce7,6301e3259dfcf87a5f3dbd0b,Thu Jul 28 2022 08:43:10 GMT+0000 (Coordinated Universal Time),Thu Aug 25 2022 03:48:32 GMT+0000 (Coordinated Universal Time),Thu Aug 25 2022 04:23:54 GMT+0000 (Coordinated Universal Time),1 Резиденция,adcb,milchakova-svetlana,0,-,339 657," Al Wasl, Dubai",-,-,https://api-maps.yandex.ru/services/constructor/1.0/js/?um=constructor%3Ad0481f673df0cac21e80b3da07a48e3a06bccf0564a83b04104870f39aa48409&amp;width=100%25&amp;height=400&amp;lang=ru_RU&amp;scroll=true,from 82 to 188 ,291,82,188,NEW 1 RESIDENCES LOCATED A FEW STEPS FROM ZABEEL PARK IN DUBAI,"<p id="""">Surrounded by pristine waters on all sides, these beachfront apartments feature prominently on the Western Crescent of the Palm Jumeirah. W Residences Dubai offers one of the most prestigious addresses in the world. It offers 104 unique suites spread across eight majestic mansions with unobstructed, breathtaking views of the Arabian Gulf, Dubai's iconic skyline and Dubai Marina.</p><p id="""">Crowning the top of Palma are five branded luxury penthouses that redefine the concept of spaciousness with 360° panoramic views. ‍</p><p id="""">‍</p>",Apartments,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf814f33dbd39_Balcony-of-a-luxury-waterfront-apartment-633x422-c-default.jpg,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf881d43dbd3b_Location-of-W-Residences-Dubai-633x422-c-default.jpg,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf8b12b3dbdc9_1_residences.svg,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf8806f3dbd3d_1%20residences.pdf,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf829a63dbd3a_Interior-of-a-luxury-panorama-penthouse-633x422-c-default.jpg; https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf83ba73dbd3c_Interior-of-a-luxury-waterfront-penthouse-633x422-c-default.jpg; https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf816dc3dbd42_file-1.png; https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf8bb413dbd40_file-2.png; https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf8c8d43dbd41_file-3.png,
Ahad Residences,ahad-residences,6301e3259dfcf8460a3dbce7,6301e3259dfcf84e973dbd1a,Mon Aug 01 2022 08:56:07 GMT+0000 (Coordinated Universal Time),Wed Aug 24 2022 18:13:31 GMT+0000 (Coordinated Universal Time),Thu Aug 25 2022 04:23:54 GMT+0000 (Coordinated Universal Time),,buisness-bay,milchakova-svetlana,0,5 112,199 430,Ahad Residences,-,-,https://api-maps.yandex.ru/services/constructor/1.0/js/?um=constructor%3A3a390538d4883cf95e732521689f637fb8771dfd7dd5702f05f35f1c3bba0a6e&amp;width=100%25&amp;height=400&amp;lang=ru_RU&amp;scroll=true,from 39 to 238 ,348,39,238,WELCOME TO AHAD RESIDENCES!,"<p id="""">Ahad Residences is a 30-story residential building located in the heart of Business Bay. It includes studios, apartments with 1, 2 and 3 bedrooms. Ahad offers a unique living experience that allows residents to be part of a vibrant, modern and dynamic community. This project is being developed by AHAD Group and the contractor is Evan Lim-Penta, a well-known, reputable Singaporean developer who is actively involved in the project. They have built several high end projects in Dubai including Sofitel Palm Jumeirah and Saba Tower in JLT. They were recently recognized for their work on the Singapore, Netherlands and Sweden pavilions at Expo 2020.</p>",Apartments,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf829fe3dbda3_businessbayskyviewnew.jpg,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf80c053dbda4_Ahad-Residences-at-Business-Bay-Exterior-1024x632.jpg,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf873493dbdd3_AHAD.svg,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf87ce53dbda2_Ahad-Brochure.pdf,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf811343dbda8_Ahad-Residences-at-Business-Bay-Amenities-1024x620.jpg; https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf852553dbda6_Ahad-Residences-at-Business-Bay-living-1024x599.jpg; https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf833113dbda7_Ahad-Residences-at-Business-Bay-Lobby-1024x594.jpg; https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf839a43dbda5_Bedroom-View-04-640x534.jpg; https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf85be53dbda9_Cam_3-min-483x640.jpg,1
Ava at Palm,ava-at-palm,6301e3259dfcf8460a3dbce7,6301e3259dfcf8d62a3dbd0c,Thu Jul 28 2022 09:07:21 GMT+0000 (Coordinated Universal Time),Thu Aug 25 2022 03:47:05 GMT+0000 (Coordinated Universal Time),Thu Aug 25 2022 04:23:54 GMT+0000 (Coordinated Universal Time),АВА НА Палм,al-khail-2,milchakova-svetlana,0,-,62 290 049,"Palm Jumeirah, Dubai",-,-,https://api-maps.yandex.ru/services/constructor/1.0/js/?um=constructor%3Aa6d2d5e2932aeaa01546f5cd0cd6d15b01a57dabd4fdb354a430ed9dffd8a9a6&amp;width=100%25&amp;height=400&amp;lang=ru_RU&amp;scroll=true,from 10 to 3066,17,10,3066,A complex of elite RESIDENCES!,"<p id="""">The AVA at Palm Jumeirah luxury residential complex was launched in the 1st quarter of 2022 by one of the largest luxury real estate companies in Dubai - OMNIYAT. Throughout the long-awaited project, the main element is the water element, since the main entrance to the complex is decorated with endless reservoirs that intersect with each other, creating the impression of a unity of the building with the surrounding Persian Gulf. AVA at Palm Jumeirah features a total of 17 exclusive residences, including 3 and 4 bedroom apartments, as well as 1 duplex and 1 penthouse. The interiors of the residences will be designed by Portia Fox Design and will combine meticulous technical detail and inquisitive creativity. The ultra-modern 3 and 4 bedroom apartments overlooking the stunning Burj Al Arab and Ain Dubai will be from 660 to 813 square meters. m. They will be equipped with a private pool, a personal elevator, a maid's room and a family recreation area. In addition, for maximum convenience of residents, 3 parking spaces will be allocated for each unit of real estate.</p>",Apartments,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf833153dbd48_ava-at-palm-jumeirah-2.jpg,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf855f63dbd49_ava-at-palm-jumeirah-6-1.jpg,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf8ef153dbdca_avani_palm.png,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf87b3b3dbd4b_AVA%20AT%20PALM_prezent-min.pdf,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf80f6b3dbd47_ava-at-palm-jumeirah-3.jpg; https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf8404b3dbd46_ava-at-palm-jumeirah-4.jpg; https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf887833dbd45_ava-at-palm-jumeirah-5.jpg; https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf869b03dbd43_ava-at-palm-jumeirah-8.jpg; https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf8e54b3dbd44_ava-at-palm-jumeirah-10.jpg,
Avani Palm View Dubai Hotel & Suites,avani-palm-view-dubai-hotel-suites,6301e3259dfcf8460a3dbce7,6301e3259dfcf8530e3dbd0e,Thu Jul 28 2022 09:35:55 GMT+0000 (Coordinated Universal Time),Wed Aug 24 2022 18:53:15 GMT+0000 (Coordinated Universal Time),Thu Aug 25 2022 04:23:54 GMT+0000 (Coordinated Universal Time),Авани Палм,al-khail-2,milchakova-svetlana,0,328 019,33 130 000,На въезде на остров Palm Jumeirah,-,-,https://api-maps.yandex.ru/services/constructor/1.0/js/?um=constructor%3A20e5695f5b93f5083682b79c81ca90d25393cdfa1dae0fccb091bef72d92a846&amp;width=100%25&amp;height=400&amp;lang=ru_RU&amp;scroll=true,from 107 to 481 ,9,107,481,Apartments by the sea.,"<p id="""">Palm Jumeirah Luxury ApartmentsPalm View on the Palm Jumeirah, offers ready-to-live-in 1 to 3 bedroom apartments with the ability to customize to your specifications.</p><p id=""""> It offers views of the Persian Gulf, the city skyline and Golf Views.Avani Palm View is a 48-story mixed-use building located in Al-Sufouh, at the entrance to Palm Jumeirah.</p><p id=""""> The project was launched in 2018 by Al-Fahim and has 264 units of properties, namely apartments with 1-3 bedrooms. All apartments are ready to move in, decorated in light colors, with marble floors, fully equipped kitchens, panoramic windows and private balconies. which include: a cafe and a 24-hour restaurant, a pool bar, a joint gym, parking, 24-hour security, as well as the possibility of individual finishing of the property</p><p id="""">‍</p>",Apartments,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf898213dbd4c_avani-palm-view-dubai-exterior-shot---main-hotel-shot.jpg,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf8ef153dbdca_avani_palm.png,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf81af23dbd51_%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA%20%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0%202022-07-28%20%D0%B2%2012.18.48.png,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf87b3b3dbd4b_AVA%20AT%20PALM_prezent-min.pdf,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf85ac03dbd4d_avani-two-bedroom-seaview-apartment-living-room.jpg; https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf80c543dbd50_palm-view-9.jpg; https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf8d2253dbd4e_RL629-Avani-Palm-View-Hotel-Suites-Dubai-Media-City-Dubai-13_890x440.jpg; https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf871243dbd4f_Screenshot_1.jpg,
Cavalli Tower,cavalli-tower,6301e3259dfcf8460a3dbce7,6301e3259dfcf8a9353dbd1b,Mon Aug 01 2022 09:02:59 GMT+0000 (Coordinated Universal Time),Wed Aug 24 2022 18:11:20 GMT+0000 (Coordinated Universal Time),Thu Aug 25 2022 04:23:54 GMT+0000 (Coordinated Universal Time),Кавали,buisness-bay,milchakova-svetlana,0,-,361 048,Cavalli Tower,-,-,https://api-maps.yandex.ru/services/constructor/1.0/js/?um=constructor%3Adb25f32e6f6c36703c721bb239eda01f104a53b01640cf1209d893ce8107b486&amp;width=100%25&amp;height=400&amp;lang=ru_RU&amp;scroll=true,from 81 to 172 ,484,81,172,Cavalli Tower is divided into Luxury and Upper Luxury apartment types,"<p id="""">Bringing runway glamor and glitz to private homes, Cavalli Tower is the result of a landmark collaboration between award-winning real estate developer DAMAC Properties and world-renowned fashion designer Roberto Cavalli. In fact, it is currently the only Cavalli-branded tower in the world that will make a splash among fans of ultra-luxury real estate. The grandiose complex will consist of 70 levels, where the interiors will be made according to an exclusive concept from the Italian brand Cavalli. </p><p id="""">The cone-shaped architectural concept was created by Sean Killa, known for his innovative design for the long-awaited Museum of the Future in Dubai. Property buyers have an attractive opportunity to choose from a collection of branded 2-5 bedroom apartments overlooking the Persian Gulf, as well as penthouses of various layouts and sizes.</p><p>‍</p>",Apartments,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf8e4de3dbdab_DAMAC-Cavalli-Tower-Exteriors-2.jpg,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf80bd83dbdac_DAMAC-Cavalli-Tower-Exteriors-3.jpg,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf8257e3dbdcb_cavalli_tower.svg,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf8277f3dbdaa_CAVALLI-Tower-new-super-luxury.pdf,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf8ec413dbdad_DAMAC-Cavalli-Tower-Exteriors-4.jpg; https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf843023dbdb0_DAMAC-Cavalli-Tower-Exteriors-5.jpg; https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf8a3993dbdae_DAMAC-Cavalli-Tower-Exteriors-6.jpg; https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf856443dbdb1_DAMAC-Cavalli-Tower-Exteriors-7.jpg; https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf82f6e3dbdaf_DAMAC-Cavalli-Tower-Exteriors-8.jpg,2
CREST,crest,6301e3259dfcf8460a3dbce7,6301e3259dfcf87c843dbd0f,Thu Jul 28 2022 09:58:57 GMT+0000 (Coordinated Universal Time),Wed Aug 24 2022 18:36:57 GMT+0000 (Coordinated Universal Time),Thu Aug 25 2022 04:23:54 GMT+0000 (Coordinated Universal Time),Крест,sobha-hartland,milchakova-svetlana,0,4 767,414 793,CREST Grande,-,-,https://api-maps.yandex.ru/services/constructor/1.0/js/?um=constructor%3Af0ad605d3cd775f9d0b59b4ff3a8ceb4c6a6a06ca69c865229d756dec5ea94be&amp;width=100%25&amp;height=400&amp;lang=ru_RU&amp;scroll=true,from 87 to 218 ,263,87,218,"Crest Grande is a new project with apartments in Sobha Hartland, on the lagoon.","<p id="""">The Crest Grande is a new residential project in Sobha Hartland, a very popular area with luxury real estate. The complex offers apartments with 1, 2, 3 and 4 bedrooms. The project is currently under construction with an estimated completion date of Q4 2025. </p><p id="""">The Crest Grande is a crystal clear lagoon life and a wealth of amenities located on the waterfront in the heart of Dubai! Stylish, elegant and cosmopolitan lifestyle in the center Dubai, with a resort-style experience surrounded by unspoiled nature and water, as well as stunning views of the Dubai skyline and the world's largest tower, enjoying the waterfront, which is exclusive to residents of the Sobha Hartland community. Advantageous location, self-sufficient infrastructure - make The Crest Grande a great place to live, both for young couples and families with children.</p><p id="""">Location:</p><p id="""">· &nbsp; &nbsp; 15 minutes La Mer beach</p><p id="""">· &nbsp; &nbsp; &nbsp;15 minutes La Mer beach</p><p id="""">· &nbsp; &nbsp; &nbsp;10 minutes Burj Khalifa / Dubai Mall</p><p id="""">· &nbsp; &nbsp; &nbsp;25 minutes Dubai Marina</p><p id="""">· &nbsp; &nbsp; &nbsp;27 minutes Hotel Parus</p><p id="""">· &nbsp; &nbsp; 1 minute shopping center Meydan</p><p id="""">· &nbsp; &nbsp; &nbsp;27 minutes Palm Island</p>",Apartments,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf8eaa03dbd57_file-5.png,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf8af7d3dbd58_file-4.png,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf8948c3dbdcc_CREST.svg,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf83ee23dbd52_crest_grand_ru.pdf,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf81c3d3dbd54_1BR.jpg; https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf832543dbd55_2BR.jpg; https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf880f83dbd5b_file-1.png; https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf834d63dbd59_file-2.png; https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf88e633dbd5a_file-3.png,3
Lagoons,lagoons,6301e3259dfcf8460a3dbce7,6301e3259dfcf856e93dbd19,Mon Aug 01 2022 09:45:39 GMT+0000 (Coordinated Universal Time),Wed Aug 24 2022 18:51:51 GMT+0000 (Coordinated Universal Time),Thu Aug 25 2022 04:23:54 GMT+0000 (Coordinated Universal Time),Лагунс,golf-city,milchakova-svetlana,0,-,390 458,Lagoons,-,-,https://api-maps.yandex.ru/services/constructor/1.0/js/?um=constructor%3A8c099fe1480722042b5ef9bfc0d45cac8da612227b7f4af0a2c56fb7675e58b0&amp;width=100%25&amp;height=400&amp;lang=ru_RU&amp;scroll=true,от 10,10,10,10000,"Lagoons is a new large-scale premium residential complex on the shore of an artificial lagoon in the prestigious Golf City area in Dubai, next to the golf course.","<p id="""">Lagoons is a new large-scale premium real estate complex, located among the lush greenery of the picturesque lagoons of the new Golf City in Dubai, a 15-minute drive from Dubai Marina and the beaches of the Persian Gulf. </p><p id="""">The complex has easy access to Dubai's key highways including Mohammed Bin Zayed Road, Hessa Street, Emirates Road and Al Khail Road. crystal lagoons. </p><p id="""">According to the general developer, the new project plans to be the same size as the nearby popular Damas Hills community, which has an area of ​​42 million square meters. f.</p>",Apartments,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf8c74b3dbdb7_file-2.png,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf8f4413dbdb8_file-3.png,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf83bbb3dbdcd_damac_lagoons.svg,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf8eeb43dbda1_prezent-compressed.pdf,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf879ac3dbdb3_file-1.png; https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf8ab493dbdb5_file-4.png; https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf807d13dbdb2_file-6.png; https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf863803dbdb6_file-7.png; https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf84e183dbdb4_image.png,4
MBL Residence Tower ,mbl-residence-tower,6301e3259dfcf8460a3dbce7,6301e3259dfcf82c413dbd10,Mon Aug 01 2022 05:06:02 GMT+0000 (Coordinated Universal Time),Wed Aug 24 2022 18:28:58 GMT+0000 (Coordinated Universal Time),Thu Aug 25 2022 04:23:54 GMT+0000 (Coordinated Universal Time),МБЛ Резиденция,mapjlt,milchakova-svetlana,0,3 765,466 861,"Jumeirah Lake Towers, Dubai",-,-,https://api-maps.yandex.ru/services/constructor/1.0/js/?um=constructor%3A4373b0cad79d6330d9c9e8081f0699a98f6b74bedbca2bbef156721a8dbbea1f&amp;width=100%25&amp;height=400&amp;lang=ru_RU&amp;scroll=true,from 124 to 128 ,13,124,128,MBL Residence is a premium multifunctional residential complex located in a developing family area in Dubai,"<p id="""">MBL Residence is a premium multifunctional residential complex located in the emerging Jumeirah Lake Towers family district of Dubai. The building is a 40-story skyscraper, which houses 472 residential units. MBL Residence properties include one, two and three bedroom apartments ranging from 71-128 sqm. m. All objects are equipped with panoramic windows overlooking the pool, lake and cityscape. There are fully equipped kitchens and bathrooms with modern fixtures. The cost of housing is from AED 1,060,000 (USD 288,600).</p><p id="""">MBL Residence is built in the popular cozy Jumeirah Lake Towers area, next to the picturesque park area. Residents of the complex have access to the major highway Sheikh Zayed Road. Within a 10-minute drive from the complex is the popular Dubai Marina resort area, with the shopping center of the same name, a yacht club and a promenade.</p>",Apartments,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf83e7e3dbd5c_mbl-residence-1.jpg,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf842563dbd5d_mbl-residence-2.jpg,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf8e4b13dbdd7_MBL_residences.svg,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf870643dbd63_MBL_Brochure-1-compressed.pdf,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf8118d3dbd62_mbl-residence-4.jpg; https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf8a3d43dbd5f_mbl-residence-5.jpg; https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf874a73dbd60_mbl-residence-6.jpg; https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf8c1783dbd5e_mbl-residence-8.jpg; https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf8d68e3dbd61_mbl-residence-9.jpg,5
MBL ROYAL,mbl-royal,6301e3259dfcf8460a3dbce7,6301e3259dfcf867913dbd1c,Mon Aug 01 2022 09:52:50 GMT+0000 (Coordinated Universal Time),Wed Aug 24 2022 18:06:26 GMT+0000 (Coordinated Universal Time),Thu Aug 25 2022 04:23:54 GMT+0000 (Coordinated Universal Time),МБЛ Роял,jumeirah,milchakova-svetlana,0,331,4 192,First Al Khail St,-,-,https://api-maps.yandex.ru/services/constructor/1.0/js/?um=constructor%3A50a4c18544046c3038c4e804b7dff52c595425465c9b4c561ff4eac8846dcd7b&amp;width=100%25&amp;height=400&amp;lang=ru_RU&amp;scroll=true,from 64 to 185,10,64,185,Residence is a new premium high-rise residential complex located on the lakefront in the Jumeirah Lake Towers area,<p> </p>,Apartments,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf855383dbdb9_mbl-royal-new-launch-in-dubai-1.jpg,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf83c1e3dbdba_mbl-royal-new-launch-in-dubai-2.jpg,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf813bc3dbdce_mbl_royal.svg,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf851b23dbdc0_MBL-Royal-compressed.pdf,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf8c5173dbdbc_mbl-royal-new-launch-in-dubai-13.jpg; https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf8023c3dbdbd_mbl-royal-new-launch-in-dubai-14.jpg; https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf82d5c3dbdbe_mbl-royal-new-launch-in-dubai-15.jpg; https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf849723dbdbb_mbl-royal-new-launch-in-dubai-16.jpg; https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf87cc43dbdbf_mbl-royal-new-launch-in-dubai-17.jpg,
Mr. C Residences,mr-c-residences,6301e3259dfcf8460a3dbce7,6301e3259dfcf85e7e3dbd11,Mon Aug 01 2022 05:13:03 GMT+0000 (Coordinated Universal Time),Wed Aug 24 2022 18:27:43 GMT+0000 (Coordinated Universal Time),Thu Aug 25 2022 04:23:54 GMT+0000 (Coordinated Universal Time),Мр Резиденция,al-safa,milchakova-svetlana,0,17 069,4 489 263,PALM JUMEIRAH,-,-,https://api-maps.yandex.ru/services/constructor/1.0/js/?um=constructor%3A97de4e1b30462556820bf2e44b3475fc08a7ce55bc87a2c46793bc020c7c57e6&amp;width=100%25&amp;height=400&amp;lang=ru_RU&amp;scroll=true,from 263 to 516 ,23,263,516,Serviced apartments and penthouses located in the heart of Dubai Jumeirah!,"<p id="""">Mr. C Residences Jumeirah is located just a short drive from downtown Dubai and the Jumeirah beach area, offering residents access to both sides of one of the world's most innovative cities. </p><p id="""">Beaches and boating are within reach of residents, while multicultural and Italian restaurants and places to socialize are just steps away from their home.</p><p id=""""> Mr.C Residences is a modern waterfront residential complex that provides European comfort and luxury living in Dubai . The complex is located in the heart of the Jumeirah area and is currently under construction with an estimated completion date of Q4 2023. Mr.C Residences offers 3 and 4 bedroom apartments as well as three exclusive 5 bedroom penthouses.</p>",Apartments,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf83b583dbd64_Mr-C-Residences-Dubai-Jumeirah-1.jpg,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf818f33dbd65_Mr-C-Residences-Dubai-Jumeirah-2.jpg,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf868943dbdcf_Mr-c_residences.png,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf832743dbd6a_mr-c-residences-compressed.pdf,https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf818f33dbd65_Mr-C-Residences-Dubai-Jumeirah-2.jpg; https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf86fa93dbd69_Mr-C-Residences-Dubai-Jumeirah-3.jpg; https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf83c843dbd67_Mr-C-Residences-Dubai-Jumeirah-4.jpg; https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf808703dbd66_Mr-C-Residences-Dubai-Jumeirah-5.jpg; https://uploads-ssl.webflow.com/6301e3259dfcf847bc3dbcb4/6301e3259dfcf84fc43dbd68_Mr-C-Residences-Dubai-Jumeirah.jpg,3
