Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Заголовок,Цена,price_per_meter,Район,map,Адрес,Image,Images,Описание,Contact,Валюта,Общая площадь,Комнат,Этаж,Всего этажей,Ремонт,Год постройки,Тип (материал) дома,Раздельные санузлы,Высота потолков,Пассажирских лифтов,Грузовых лифтов,Парковка,Форма собственности,Кол во подъездов,Квартир на этаже,Пентхаус,Терраса,Квартир в доме,Окна выходят
room-1,room-1,628debfda8ef95588c986c04,628dee39f71c22686282d516,Wed May 25 2022 08:52:09 GMT+0000 (Coordinated Universal Time),Thu May 26 2022 22:38:44 GMT+0000 (Coordinated Universal Time),Thu May 26 2022 22:47:53 GMT+0000 (Coordinated Universal Time),"6-к квартира, 363 м², 9/14 этаж",6 500 000,1432507,hamovniki,https://api-maps.yandex.ru/services/constructor/1.0/js/?um=constructor%3A5f1729bb06585edbaee497b1d9dedb232aa869ec658ca5bd038663d541c5b906&amp;width=100%25&amp;height=400&amp;lang=en_FR&amp;scroll=true,"Москва, 1-й Неопалимовский переулок, 8",https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1509e8398cb7715e84e5_fa37afc610910a298ceb7c246e117e03.jpg,https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e15049df441d957de96d3_3e064700487d157b762527f103516e79.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e15044d650e7d8ae36d95_568d9eb80f4953c3e875bc4fda0bf786.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1504977fb20877551821_31535ed9de2cec641cc796d726b7949f.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e15041173d220cfee1d92_59984ffc129ba901746fa2aadddeb6e8.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e150534fb2d4a21a6844b_f9aa525596c84dfae0d4536a12cec863.jpg,"<p>Описание обьекта:</p><p>Трехуровневый пентхаус с неповтоимой авторской отделкой в стиле современной классики и нотками хай-тек и видовой террасой по периметру 3-го уровня в переулках Плющихи в ЖК Венский дом. </p><p>В отделке использованы только натуральные материалы, техника премиального уровня.</p><p>Функциональная планировка включает в себя: 1 уровень - гостиную зону с кухней-гостиной, с/у и кабинетом с выходом на лоджию на первом уровне.ь 2 уровень - приватную зону с тремя спальнями и 2 с/у, гардеробной; 3 уровень - вторая гостиная со своей кухней, с/у и террасой с видами на все стороны света. Площадь всех уровней без учета террасы 340 кв.м. Площадь террасы 86 кв.м. 2 мм в подземном паркинге. </p><p><br></p><p>Описание здания:</p><p>""Венский дом"" - один из лучших элитных домов столицы. Комплекс состоит из 2 жилых корпусов переменной этажности. Оба корпуса объединены друг с другом просторным внутренним двором. На огороженной территории дома разбит парк с фонтаном, дорожками с подогревом и прекрасным ландшафтным дизайном. В подземном 2-уровневом паркинге предусмотрено 99 м/м. В доме 60 квартир, площадью от 99 до 299 кв. м. Из квартир открываются панорамные виды на панораму столицы.</p>",puchkova-svetlana,USD,363,6+,9,14,Дизайнерский,2004,Монолитно-кирпичный,Нет,3.3,1,1,Подземная,Частная,3,2,ИСТИНА,1,,
room-10,room-10,628debfda8ef95588c986c04,628dee401b0f4f35bd0e70f7,Wed May 25 2022 08:52:16 GMT+0000 (Coordinated Universal Time),Wed Sep 07 2022 19:17:14 GMT+0000 (Coordinated Universal Time),Wed Sep 07 2022 19:18:41 GMT+0000 (Coordinated Universal Time),"6-к квартира, 584 м², 6/6 этаж",16 000 000,2 191 781,hamovniki,https://api-maps.yandex.ru/services/constructor/1.0/js/?um=constructor%3A3ef74ef0abc04cacb4e7223427729bc9abae37e26d024cba0bc3f9c0080f29d1&amp;width=100%25&amp;height=400&amp;lang=en_FR&amp;scroll=true,"Москва, Молочный переулок, 7",https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e19513e322c387d25d8f8_6db64bf7779d69ca2ea2d800987c37c7.jpg,https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1962d50c8456740086f8_6e0a8b51502a3f3fa32c38ca01ebdec1.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1961b6d2c1e480de2b4c_33993d32a84acd159a943ccba414f66e.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e19615f02a62e3da95697_ab5c4677993606716edf6e5af8dbbd3c.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1962a70435e2a7d54dca_c8c03a1657a0c46be1521e5f56eb5cd3.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e19623e322c473a25d967_cc051ea57bccbe1240029b4148affb3c.jpg,"<p>Уникальный двухуровневый пентхаус с отделкой и террасой с видами на Зачатьевский монастырь. Пентхаус занимает два последних этажа. 1 квартира на этаже. &nbsp;Лифт приходит непосредственно в квартиру. Планировка: 1-й уровень большой зал общей площадью 152 кв.м с выходом на террасу. Библиотека с камином. Кухня - столовая (60 кв.м) также имеет выход на террасу. Гостевой санузел и постирочная комната. Мастер спальня со своим санузлом и большой гардеробной комнатой. две спальни со своим санузлами; 2-й уровень: 2 детские спальни со своими санузлами, игровой холл (спальное место для няни предусмотрено), мини-кухня. В пентхаусе выполнен высококачественный ремонт в классическом стиле по индивидуальному дизайн проекту. &nbsp;3 машино-места в подземном паркинг.</p><p><br></p><p>Молочный переулок, дом 7 - малоквартирный особняк в самом центре Золотой мили. Охрана. Подземный паркинг. Придомовая территория. Собственная служба эксплуатации.</p>",puchkova-svetlana,USD,584,6+,6,6,,2006,Монолитно-кирпичный,,3.5,,,Подземная,Частная,1,1,ИСТИНА,1,4,
room-11,room-11,628debfda8ef95588c986c04,628dee4045bef812e5b344ec,Wed May 25 2022 08:52:16 GMT+0000 (Coordinated Universal Time),Wed Sep 07 2022 19:17:06 GMT+0000 (Coordinated Universal Time),Wed Sep 07 2022 19:18:41 GMT+0000 (Coordinated Universal Time),"4-к квартира, 219 м², 4/4 этаж",540 300 000,2 468 250,presnenskiy,https://api-maps.yandex.ru/services/constructor/1.0/js/?um=constructor%3A07a917cc4c330a0d22c53bdac82a758a27fe60d2798c67e682e1f6cd1cdbf4da&amp;width=100%25&amp;height=400&amp;lang=en_FR&amp;scroll=true,"Москва, Гранатный переулок, 8с4",https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1b98a50d812cb7c8df7f_21d2e80f8467ef1efaed0ed547199784.jpg,https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1b8b3a98aaf3fb94ffc8_1b6b3cfa536c788a01797ec0d0b8a858.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1b8bf43b6bd53712817f_39fa6ee89c5ba8459bf5243028d22c7f.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1b8b6202d898de69995e_47dcb6fc02faa7c478baff362ed1932c.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1b8b41d21c3a9cf59bd3_68ef6480ff995f3e0d9fd72b0717e46f.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1b8bef1d71e7ed8c6bad_7cfd82b072547dcd56699b5240af9b0b.jpg,"<p>Описание объекта: </p><p>Четырехкомнатная квартира без отделки, свободной планировки, предлагается в ЖК Гранатный Палас. Из окон квартиры открываются прекрасные виды на Дом Архитекторов и парк Дома приемов МИД. Функциональная планировка позволяет спланировать 3 спальни с ванными комнатами, гостиную с возможностью установки дровяного камина, кухню-столовую, подсобные помещения. Потолки 3,,5 м. В подземном паркинге предусмотрено 2 м/м. </p><p><br></p><p>Описание здания: Гранатный Палас — это уникальный клубный дом на 17 квартир, расположенный в районе Патриарших Прудов (Гранатный переулок, дом 8).</p><p>Фасад дома облицован гранитом и симметрично украшен воздушными пилонами с двумя скульптурами и орнаментом, которые характерны эпохе господства сталинского ампира.</p><p>Гранатный, 8 — это воплощение роскоши и неповторимости, стоит только взглянуть на интерьеры его общественных зон и роскошное внутреннее убранство, достойное элиты общества (уж простите за красивые слова). В комплексе «Гранатный Палас» 17 квартир, площадью от 220 до 990 кв.м. На первых двух этажах находятся дуплексы с небольшими земельными участками. Восьмой этаж полностью занимает пентхаус с панорамными окнами площадью около 1 000 кв.м.</p><p>По заявлению многих экспертов элитный жилой комплекс «Гранатный, 8» является одним из самых роскошных зданий в Москве. Подземные этажи дома включают не только паркинг, но и роскошный бассейн, фитнес клуб, созданные специально для жильцов.</p><p>На первом этаже находятся мужской сигарный клуб с бильярдной, салон красоты, библиотека и детская игровая комната.</p>",puchkova-svetlana,RUB,218.9,4,4,8,Без ремонта,2010,Монолитно-кирпичный,,3.5,1,1,Подземная,Частная,1,2,,,17,Во двор и на улицу
room-12,room-12,628debfda8ef95588c986c04,628dee412ef8ea7ac9f7961e,Wed May 25 2022 08:52:17 GMT+0000 (Coordinated Universal Time),Wed Sep 07 2022 19:17:01 GMT+0000 (Coordinated Universal Time),Wed Sep 07 2022 19:18:41 GMT+0000 (Coordinated Universal Time),"4-к квартира, 164 м², 4/7 этаж",258 300 000,1 575 000,hamovniki,https://api-maps.yandex.ru/services/constructor/1.0/js/?um=constructor%3Abf3d268bb9a6456830799b118c71daf1050deae45dbea85ea2938b3abf045d2e&amp;width=100%25&amp;height=400&amp;lang=en_FR&amp;scroll=true,"Москва, Большой Левшинский переулок, 11",https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1c19a50d81a776c8e28a_566c0b898e55c9128272138264c59d7d.jpg,https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1c1f41d21c0f98f59d4b_4f6abcfde0c61c9cd68f04af59bab105.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1c1fa8d620440e239bdb_5eca2e72c32cfbebc9e6ee0565a8f168.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1c1ff52c2e9e82002d4c_370f85b313e909680f20c1731b4a8c7f.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1c1fa8d620041c239bda_be7f457401738a6343b0992e03d25e01.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1c1f3ede1d4e8752986d_de054f04ba6cd044fc6f4a6770aa7e9e.jpg,"<p>Описание объекта недвижимости:</p><p>4-х комнатная квартира с отделкой. Функциональное планировочное решение: гостиная - столовая, кухня, 3 спальни, 3 санузла, постирочная и гардеробная комнаты. Из окон квартиры открываются красивые виды в арбатские переулки. </p><p>Описание здания:</p><p>Элитный дом «Дворянское гнездо» по праву считается одним из красивейших в районе Пречистенки. Стильный фасад семиэтажного дома дополняется внутренним двором с ландшафтным дизайном, выполненным в уникальном итальянском стиле. По периметру двор украшают увитые диким виноградом беседки, в центре бьет настоящий римский фонтан. Украшением дома служит редкой красоты бассейн с мозаичными панно на стенах. Территория огорожена и находится под круглосуточным видеонаблюдением. Подземный паркинг. Многоуровневая охрана.</p>",puchkova-svetlana,RUB,164,4,4,7,Евроремонт,2003,Монолитно-кирпичный,3,3.3,2,2,Подземная,Частная,2,2,,,27,Во двор и на улицу
room-13,room-13,628debfda8ef95588c986c04,628dee4235672177c90e5ee9,Wed May 25 2022 08:52:18 GMT+0000 (Coordinated Universal Time),Wed Sep 07 2022 19:16:55 GMT+0000 (Coordinated Universal Time),Wed Sep 07 2022 19:18:41 GMT+0000 (Coordinated Universal Time),"6-к квартира, 952 м², 8/8 этаж",35 000 000,2 941 176,presnenskiy,https://api-maps.yandex.ru/services/constructor/1.0/js/?um=constructor%3Afefe74e2a2f0a86dca1059ae8ffb2c88a57a6f04c7fe3882bdba4c893b5ebecc&amp;width=100%25&amp;height=400&amp;lang=en_FR&amp;scroll=true,"Москва, Гранатный переулок, 8с4",https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1cc2f87432b030531b1c_813b582f90960c6c34b4035df196ee68.jpg,https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1b8b3a98aaf3fb94ffc8_1b6b3cfa536c788a01797ec0d0b8a858.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1cbc963d572be5c9f8e2_616432dc406953bfb4b639a3b346f134.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1cbc8bf15c3cfd070509_36682359b6a792d21ae9daa8717fcce1.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1cbcda8ba19639a095b0_bc02e885420d3502e7b403acc10ba123.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1cbcf862bf787d64d110_c69f87aa7876380e5cd2fe12ee776318.jpg,"<p>Описание объекта: </p><p>Роскошный пентхаус без отделки, свободной планировки, предлагается в ЖК Гранатный Палас. Пентхаус занимает полностью этаж. Высота потолков 3,8 м. Панорамное остекление. Окна выходят на четыре стороны света. Из окон пентхауса открываются великолепные виды н потрясающие виды на панораму Москвы, в том числе здание дома приемов МИД, Кремль. Балконы и террасы огибают весь пентхауса. Функциональная планировка позволяет разместить большую зону кухни-гостиной, столовую, кабинет, 4-5 спален со своими санузлами и гардеробными комнатами, вспомогательные помещения (постирочную, хозяйственную комнаты). Возможность организации дровяного камина. Предусмотрены два парадных входа и два дополнительных - для обслуживающего персонала. К парадным и ""черным"" входам поднимаются отдельные лифты. </p><p>Владельцы пентхауса будут иметь выход на эксплуатируемую кровлю, которую можно рассматривать как персональную смотровую площадку.</p><p><br></p><p>Описание здания: Гранатный Палас — это уникальный клубный дом на 17 квартир, расположенный в районе Патриарших Прудов (Гранатный переулок, дом 8).</p><p>Фасад дома облицован гранитом и симметрично украшен воздушными пилонами с двумя скульптурами и орнаментом, которые характерны эпохе господства сталинского ампира.</p><p>Гранатный, 8 — это воплощение роскоши и неповторимости, стоит только взглянуть на интерьеры его общественных зон и роскошное внутреннее убранство, достойное элиты общества (уж простите за красивые слова). В комплексе «Гранатный Палас» 17 квартир, площадью от 220 до 990 кв.м. На первых двух этажах находятся дуплексы с небольшими земельными участками. Восьмой этаж полностью занимает пентхаус с панорамными окнами площадью около 1 000 кв.м.</p><p>По заявлению многих экспертов элитный жилой комплекс «Гранатный, 8» является одним из самых роскошных зданий в Москве. Подземные этажи дома включают не только паркинг, но и роскошный бассейн, фитнес клуб, созданные специально для жильцов.</p><p>На первом этаже находятся мужской сигарный клуб с бильярдной, салон красоты, библиотека и детская игровая комната.</p>",puchkova-svetlana,USD,952,6+,8,8,Без ремонта,2010,Монолитно-кирпичный,,3.5,,,Подземная,Частная,1,2,ИСТИНА,1,17,Во двор и на улицу
room-14,room-14,628debfda8ef95588c986c04,628dee435db4e85d06feef46,Wed May 25 2022 08:52:18 GMT+0000 (Coordinated Universal Time),Wed Sep 07 2022 19:16:48 GMT+0000 (Coordinated Universal Time),Wed Sep 07 2022 19:18:41 GMT+0000 (Coordinated Universal Time),"4-к квартира, 167 м², 3/7 этаж",300 000 000,1 796 407,hamovniki,https://api-maps.yandex.ru/services/constructor/1.0/js/?um=constructor%3A6175dd704b99d3666e30708b4ec87aba1ef35936437d3c16383d1f5ea1cc5153&amp;width=100%25&amp;height=400&amp;lang=en_FR&amp;scroll=true,"Москва, Пожарский переулок, 3",https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1d2df862bf912164d264_d2f2a55aadeb41967bb32b04b5a4cc43.jpg,https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1d29adec762da4013274_29e91d94e37b673a83066c6ec367778f.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1d29f43b6b2999128ee6_5889a18dad914ed9126256c3f9c39cb3.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1d2a4d2bf81ad6d9e266_aa770d45bad37940c518a7e37d0eb8b5.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1d2a03dc903a66978dc2_fe4f7f851195895c9f8acbb027f6f437.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1d2ace071c07f8ae7239_ff13e643da4e3607a0cc44ca628b6270.jpg,"<p>Описание объекта: </p><p>4-х комнатная квартира с отделкой в малоквартирном жилом комплексе ""Вилла Грейс"". Планировка квартиры предусматривает: большую прихожую с хозяйственной или гардеробной комнатой. Гостиная - столовая - кухня, мастер спальня со своим санузлом и гардеробной комнатой, две спальни, также имеют свои санузлы и гардеробные комнаты. Окна квартиры ориентированы в тихий переулок и во двор. В отделке квартиры использован натуральный камень, паркет. Особенность квартиры - 1 на этаже, лифт приходит непосредственно в квартиру.</p><p><br></p><p>Описание дома: </p><p>ЖК Villa Grace (Вилла Грейс), камерный особняк всего на 20 квартир расположенный в самом сердце Золотой мили, между улицей Остоженка и Пречистенской набережной.</p><p>Особенностью дома является наличие полностью закрытой внутренней территории площадью с красивым ландшафтным дизайном, зоной отдыха и детской площадкой.</p><p>Контроль доступа позволяет подняться в лифте только на свой этаж. Villa Grace оборудована новейшими инженерными системами, способными обеспечить высокий уровень качества жизни. Среди них мультизонная система кондиционирования и приточно-вытяжная вентиляция.</p>",puchkova-svetlana,RUB,167,4,3,6,Дизайнерский,2021,Монолитно-кирпичный,,3.3,,1,Подземная,Частная,3,1,,,20,Во двор и на улицу
room-15,room-15,628debfda8ef95588c986c04,628dee435ed89e4b541c0b11,Wed May 25 2022 08:52:19 GMT+0000 (Coordinated Universal Time),Wed Sep 07 2022 19:16:37 GMT+0000 (Coordinated Universal Time),Wed Sep 07 2022 19:18:41 GMT+0000 (Coordinated Universal Time),"4-к квартира, 249 м², 2/6 этаж",350 000 000,1 403 931,hamovniki,https://api-maps.yandex.ru/services/constructor/1.0/js/?um=constructor%3A9f7f4c0a563fee2db0491ae4d685b11706c52c5126d3618022473231e27a9c6a&amp;width=100%25&amp;height=400&amp;lang=en_FR&amp;scroll=true,"Москва, Коробейников переулок, 1",https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1da317ac06153525abd5_47e353c28125d6bfe0ddd64ede30057a.jpg,https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1d9c5c85e952fa910ca6_574f7edec67983007b05a6bdd30c2fc0.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1d9cc80dc73c4bf9337f_ac3404f244a414bd4afb03839773d039.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1d9badec767ac6013650_bd8ef3b9a08828d090bdf7ba2493ef24.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1d9c6273c11abd4e95c0_ed317dfa72bd4b8f5866938093628801.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1d9cb3c7bc7f976e6fe1_f5f099f4cab7007f85989157829d7132.jpg,"<p>Описание объекта: </p><p>4-х комнатная квартира с террасой в клубном доме Crystal House. Планировка: кухня-гостиная с выходом на террасу, мастер-спальня со своим большим с/у и гардеробной; 2 спальни со своими с/у, которые легко преобразуются в кабинет/детскую. В отделке использовали ценные породы дерева, природный мрамор и натуральный гипоаллергенный текстиль. Установлена мебель из Италии, бытовая техника Gaggenau. Ванные комнаты укомплектованы сантехникой Flaminia и Dornbracht. Окна всех спален выходят на Коробейников переулок. Особенностью является терраса, которая ориентирована в тихий благоустроенный двор. </p><p>Описание здания:</p><p>Crystal House- элитный жилой комплекс в историческом центре Москвы. Клубный комплекс состоит из четырех 6- этажных строений. Фасад дома отделан итальянским керамогранитом и облицовочным кирпичом, а цоколь - натуральным гранитом. Квартиры располагаются на этажах со 2 по 6. 1 этаж занимают красивые просторные вестибюли, офисные помещения и выход во внутренний двор с продуманным ландшафтным дизайном. </p><p>Район, в котором расположен дом, является самым престижным и гарантирует владельцам наличие инфраструктурных объектов, соответствующих высоким стандартам: престижные школы, лучшие московские рестораны, спортивные студии и салоны красоты. Рядом с домом - набережная Москвы-реки, идеальная для прогулок в любое время года, а также памятники архитектуры, создающие особую атмосферу района: Зачатьевский монастырь, оперный центр Г. Вишневской, ММОМА. В доме предусмотрен 2-уровневый подземный паркинг на 287 м/м с отдельными въездами для жильцов и гостей комплекса. </p>",puchkova-svetlana,RUB,249.3,4,2,6,,2006,Монолитно-кирпичный,,3.5,,1,Подземная,Частная,6,2,,1,77,
room-16,room-16,628debfda8ef95588c986c04,628dee4499fd7a2331d02e72,Wed May 25 2022 08:52:20 GMT+0000 (Coordinated Universal Time),Wed Sep 07 2022 19:16:30 GMT+0000 (Coordinated Universal Time),Wed Sep 07 2022 19:18:41 GMT+0000 (Coordinated Universal Time),"4-к квартира, 300 м², 11/14 этаж",4 300 000,1 146 667,hamovniki,https://api-maps.yandex.ru/services/constructor/1.0/js/?um=constructor%3A5f1729bb06585edbaee497b1d9dedb232aa869ec658ca5bd038663d541c5b906&amp;width=100%25&amp;height=400&amp;lang=en_FR&amp;scroll=true,"Москва, 1-й Неопалимовский переулок, 8",https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1e0041d21cffecf5a791_dea798b78ba54363d9d64a21b570e372.jpg,https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1e09a38b7ad719d1f016_7960fcf7feef1b68cc8c2c75b84bfe4d.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1e09da8ba13154a09d14_86764f172e0236d8071b0bf718ae60e7.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1e090d768c41ad45ea55_510345ef62d65e067fa59512dc0bd3df.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1e096273c128f74e98fd_ac8dbf92144db356cae6885d9543d01c.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1d9badec767ac6013650_bd8ef3b9a08828d090bdf7ba2493ef24.jpg,"<p>Описание объекта:</p><p>Пентхаус с террасой на 11 этаже, общей площадью 300 кв.м. В квартире выполнен авторский ремонт в стиле английской классики. </p><p>Функциональная планировка: гостиная, две спальни со своими санузлами и гардеробными, каминный зал, кухня – столовая, кабинет. Летняя терраса с оборудованной кухней. Потрясающие панорамные виды на город: Храм Христа Спасителя, Кремль, «Москва-Сити». </p><p><br></p><p>Описание здания:</p><p>""Венский дом"" - один из лучших элитных домов столицы. Комплекс состоит из 2 жилых корпусов переменной этажности. Оба корпуса объединены друг с другом просторным внутренним двором. На огороженной территории дома разбит парк с фонтаном, дорожками с подогревом и прекрасным ландшафтным дизайном. В подземном 2-уровневом паркинге предусмотрено 99 м/м. Дом рассчитан на 60 квартир, площадью от 99 до 299 кв. м.</p>",puchkova-svetlana,USD,300,4,11,14,,2004,Монолитно-кирпичный,,3.3,1,1,Подземная,Частная,3,2,ИСТИНА,1,60,
room-17,room-17,628debfda8ef95588c986c04,628dee44f71c229c6d82d57f,Wed May 25 2022 08:52:20 GMT+0000 (Coordinated Universal Time),Wed Sep 07 2022 19:16:24 GMT+0000 (Coordinated Universal Time),Wed Sep 07 2022 19:18:41 GMT+0000 (Coordinated Universal Time),"6-к квартира, 455 м², 7/7 этаж",11 000 000,1 934 066,hamovniki,https://api-maps.yandex.ru/services/constructor/1.0/js/?um=constructor%3A2d027cec6cb83d6d6aebd982f03e1d98b112bb183707c79f6692c00dd5961a34&amp;width=100%25&amp;height=400&amp;lang=en_FR&amp;scroll=true,"Москва, 1-й переулок Тружеников, 17",https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1eb5e639886bd29469c7_ce1464dbadb74adc67c6ac01e08f5df7.jpg,https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1eb2b147402292e3ab2f_45a79689731b6063a30ad85a2184ca99.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1eb36a59ecf548fd440c_48ff6522565828be1b53044c61610bf7.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1eb26273c139554e9e11_b247782c3fdd30b4f91a37384fa13d10.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1eb2f52c2e1ee900374d_ba8ef13d39b4231af4d063398baa4c66.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e1eb2b66fb76f15b4c5e8_bd8f182a690048b794173e2032c42aec.jpg,"<p>Описание объекта: </p><p>Эксклюзивный пентхаус площадью 455 кв.м. Высокие потолки 4, 50 м, действующий камин, две террасы. </p><p>Функциональное планировочное решение: гостиная, кухня, столовая с выходом на террасу, гостевая комната, , хозяйская спальня с 2 гардеробными комнатами: мужская и женская и 2 с/у с сауной, 3 детские комнаты со своими с/у и гардеробными комнатами. Из окон пентхауса открываются виды в сквер на Девичьем поле. </p><p><br></p><p>Описание здания: 1-й Тружениковом 17А - это 7-этажный клубный дом класса ""de luxe"", построенный по индивидуальному проекту в 2009 г. В доме всего 22 квартиры, площадью от 80 до 133 кв.м, площадь пентхауса 450 кв.м. Высота потолков составляет 3,30 м, высота потолка в пентхаусе 4,50 м. Придомовая территория огорожена. Профессиональная охрана. Собственная служба эксплуатации. Подземный паркинг.</p>",puchkova-svetlana,USD,455,6+,7,7,Дизайнерский,,Монолитно-кирпичный,,4.5,,,Подземная,Частная,1,1,ИСТИНА,2,22,
room-18,room-18,628debfda8ef95588c986c04,628dee47f2223a2e5b3d36e7,Wed May 25 2022 08:52:23 GMT+0000 (Coordinated Universal Time),Wed Sep 07 2022 19:16:18 GMT+0000 (Coordinated Universal Time),Wed Sep 07 2022 19:18:41 GMT+0000 (Coordinated Universal Time),"5-к квартира, 225 м², 4/12 этаж",6 300 000,2 240 000,hamovniki,https://api-maps.yandex.ru/services/constructor/1.0/js/?um=constructor%3Ad10d072f9e4fc6717fb961d28ac3b0cbfe23cf69e364d39938ab0c06c1991d10&amp;width=100%25&amp;height=400&amp;lang=en_FR&amp;scroll=true,"Москва, Трубецкая улица, 10",https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e21f5f862bf014264f287_e01ace2d6cec582580bda3287d755c86.jpg,https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e21faf43b6bbfe012b83f_efdda714163558052d6230be3bc8e70c.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e21faf52c2e8ee9005702_fca10b403bbfbd3494907f785aa0d638.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e21ff60703d860858e8f0_9e6154272b83462bd0ed99ca1955571c.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e21ffd8a62b7bc3be0d68_233d98425190ee29d5a12b3c39b0d3bb.jpg; https://uploads-ssl.webflow.com/620e15709e3fbe1a70764578/628e22003d762f5f4d0ada35_2997752c0dd1a64fb2a91041b448bc9b.jpg,"<p>Предлагается 5-ти комнатная квартира с авторской отделкой. Из окон квартиры открываются великолепные виды на парк Мандельштама. Планировка квартиры предусматривает гостиную - столовую - кухню, гостевой санузел, постирочная комната, 2 спальни, кабинет. Количество санузлов - 3, кол-во гардеробных - 2. Вместе с квартирой можно отдельно приобрести 2 машиноместа в подземном паркинге. </p><p><br></p><p>ЖК «Трубецкая 10» расположен в одном из самых чистых районов центра столицы — Хамовниках. Представляет собой 12-этажное здание с 10-уровневыми торцевыми корпусами, внутри которых расположился внутренний двор. Площади двух нижних этажей отданы под объекты внутренней инфраструктуры, включающей бильярдную и сигарную комнаты, зону отдыха, зимний сад, библиотеку, детский центр и спорткомплекс.</p>",puchkova-svetlana,USD,225,5,4,12,Дизайнерский,2014,Монолитно-кирпичный,,3.4,,,Подземная,Частная,2,2,,,,
