Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Детские сады,Подпись 1,Общеобразовательные школы,Подпись 2,"Парки, скверы",Подпись 3,Медицинские центры,Подпись 4,Салоны красоты,Подпись 5,Порядок
ADCB,adcb,6301e3259dfcf823763dbd03,6301e3259dfcf8c3253dbcd2,Thu Jul 28 2022 08:36:54 GMT+0000 (Coordinated Universal Time),Thu Jul 28 2022 08:36:54 GMT+0000 (Coordinated Universal Time),Sun Aug 21 2022 07:50:23 GMT+0000 (Coordinated Universal Time),,,,,,,,,,,
Al Khail,al-khail-2,6301e3259dfcf823763dbd03,6301e3259dfcf840213dbcd3,Thu Jul 28 2022 09:14:12 GMT+0000 (Coordinated Universal Time),Thu Jul 28 2022 09:14:12 GMT+0000 (Coordinated Universal Time),Sun Aug 21 2022 07:50:23 GMT+0000 (Coordinated Universal Time),,,,,,,,,,,
Al Safa,al-safa,6301e3259dfcf823763dbd03,6301e3259dfcf81d8a3dbd04,Mon Aug 01 2022 05:09:14 GMT+0000 (Coordinated Universal Time),Mon Aug 01 2022 05:09:14 GMT+0000 (Coordinated Universal Time),Sun Aug 21 2022 07:50:23 GMT+0000 (Coordinated Universal Time),,,,,,,,,,,
Buisness Bay,buisness-bay,6301e3259dfcf823763dbd03,6301e3259dfcf8cc923dbd07,Mon Aug 01 2022 06:49:29 GMT+0000 (Coordinated Universal Time),Mon Aug 01 2022 06:49:29 GMT+0000 (Coordinated Universal Time),Sun Aug 21 2022 07:50:23 GMT+0000 (Coordinated Universal Time),,,,,,,,,,,
Burj Khalifa-Dubai Mall,burj-khalifa-dubai-mall,6301e3259dfcf823763dbd03,6301e3259dfcf844e33dbd05,Mon Aug 01 2022 06:33:01 GMT+0000 (Coordinated Universal Time),Mon Aug 01 2022 06:33:01 GMT+0000 (Coordinated Universal Time),Sun Aug 21 2022 07:50:23 GMT+0000 (Coordinated Universal Time),,,,,,,,,,,
Golf City,golf-city,6301e3259dfcf823763dbd03,6301e3259dfcf837f73dbd09,Mon Aug 01 2022 09:13:31 GMT+0000 (Coordinated Universal Time),Mon Aug 01 2022 09:13:31 GMT+0000 (Coordinated Universal Time),Sun Aug 21 2022 07:50:23 GMT+0000 (Coordinated Universal Time),,,,,,,,,,,
Jumeirah,jumeirah,6301e3259dfcf823763dbd03,6301e3259dfcf840d33dbd06,Mon Aug 01 2022 06:40:38 GMT+0000 (Coordinated Universal Time),Mon Aug 01 2022 06:40:38 GMT+0000 (Coordinated Universal Time),Sun Aug 21 2022 07:50:23 GMT+0000 (Coordinated Universal Time),,,,,,,,,,,
Map JLT,mapjlt,6301e3259dfcf823763dbd03,6301e3259dfcf8cff93dbcfb,Mon Aug 01 2022 05:00:51 GMT+0000 (Coordinated Universal Time),Tue Aug 23 2022 07:54:53 GMT+0000 (Coordinated Universal Time),Tue Aug 23 2022 07:59:36 GMT+0000 (Coordinated Universal Time),,,,,,,,,,,
Mohammad Bin Rashid City,mohammad-bin-rashid-city,6301e3259dfcf823763dbd03,6301e3259dfcf89f1b3dbd08,Mon Aug 01 2022 08:41:29 GMT+0000 (Coordinated Universal Time),Mon Aug 01 2022 08:41:29 GMT+0000 (Coordinated Universal Time),Sun Aug 21 2022 07:50:23 GMT+0000 (Coordinated Universal Time),,,,,,,,,,,
Sobha Hartland,sobha-hartland,6301e3259dfcf823763dbd03,6301e3259dfcf844763dbce8,Thu Jul 28 2022 09:48:13 GMT+0000 (Coordinated Universal Time),Thu Jul 28 2022 09:48:13 GMT+0000 (Coordinated Universal Time),Sun Aug 21 2022 07:50:23 GMT+0000 (Coordinated Universal Time),,,,,,,,,,,
