Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Детские сады,Подпись 1,Общеобразовательные школы,Подпись 2,"Парки, скверы",Подпись 3,Медицинские центры,Подпись 4,Салоны красоты,Подпись 5,Порядок
Арбат,arbat,623d9555a6e491e90b6ab9bf,624fcfaa3a3a8c7924e90048,Fri Apr 08 2022 06:01:14 GMT+0000 (Coordinated Universal Time),Thu Apr 21 2022 08:17:18 GMT+0000 (Coordinated Universal Time),Thu Apr 21 2022 08:45:15 GMT+0000 (Coordinated Universal Time),7,Детских садов ,7,Школ,3,Парка и Сквера,27,Мед. центров,60,Салонов красоты ,5
Басманный,basmannyy,623d9555a6e491e90b6ab9bf,623d9555a6e4914bc56ab9e9,Wed Mar 23 2022 15:13:01 GMT+0000 (Coordinated Universal Time),Thu Apr 21 2022 08:17:32 GMT+0000 (Coordinated Universal Time),Thu Apr 21 2022 08:45:15 GMT+0000 (Coordinated Universal Time),14,Детских садов ,23,Школы,2,Парка и Сквера,23,Мед. центра,30,Салонов красоты ,7
Дорогомилово,dorogomilovo,623d9555a6e491e90b6ab9bf,62500f2cbc8aa70241f1815c,Fri Apr 08 2022 10:32:12 GMT+0000 (Coordinated Universal Time),Wed Sep 07 2022 20:40:26 GMT+0000 (Coordinated Universal Time),Wed Sep 07 2022 20:41:05 GMT+0000 (Coordinated Universal Time),21,Детских садов,13,Школ,5,Парков и Скверов,41,Мед. центров,69,Салонов красоты,14
Филевский парк,filevskiy-park,623d9555a6e491e90b6ab9bf,62911c4dfed35130d1eafcdb,Fri May 27 2022 18:45:33 GMT+0000 (Coordinated Universal Time),Wed Sep 07 2022 20:46:43 GMT+0000 (Coordinated Universal Time),Wed Sep 07 2022 20:47:36 GMT+0000 (Coordinated Universal Time),29,Детских садов,13,Школ,5,Пакров,22,Мед. центра,28,Салонов красоты,
Хамовники,hamovniki,623d9555a6e491e90b6ab9bf,624f0092c3b44667f90b5813,Thu Apr 07 2022 15:17:38 GMT+0000 (Coordinated Universal Time),Thu Apr 21 2022 08:17:13 GMT+0000 (Coordinated Universal Time),Thu Apr 21 2022 08:45:15 GMT+0000 (Coordinated Universal Time),36,Детских садов ,17,Школ,3,Парка и Сквера,56,Мед. центров,71,Салон красоты ,4
Хорошевский,horoshovskiy,623d9555a6e491e90b6ab9bf,624ffb7ef951fa2d723bb8f8,Fri Apr 08 2022 09:08:14 GMT+0000 (Coordinated Universal Time),Thu Apr 21 2022 14:20:57 GMT+0000 (Coordinated Universal Time),Fri Apr 22 2022 19:44:58 GMT+0000 (Coordinated Universal Time),32,Детский сада,22,Школы,2,"Парка, Сквера",30,Мед. центров,100+,Салонов красоты,12
Красносельский,krasnoselskiy,623d9555a6e491e90b6ab9bf,623d9555a6e49167756ab9ec,Wed Mar 23 2022 17:36:22 GMT+0000 (Coordinated Universal Time),Sat Apr 09 2022 09:37:29 GMT+0000 (Coordinated Universal Time),Sat Apr 09 2022 11:16:43 GMT+0000 (Coordinated Universal Time),13,Детских садов ,14,Школ,2,Парка и Сквера,54,Мед. центра,47,Салонов красоты ,
Марьино,marino,623d9555a6e491e90b6ab9bf,6251667dbd1c108554f58654,Sat Apr 09 2022 10:57:01 GMT+0000 (Coordinated Universal Time),Thu Jul 07 2022 04:53:47 GMT+0000 (Coordinated Universal Time),,0,Детские сады,0,Школ,0,Парков и Скверов,0,Мед. центров,0,Салонов красоты,15
Мещанский ,meshchanskiy,623d9555a6e491e90b6ab9bf,624fe86ac2608120d1cf75df,Fri Apr 08 2022 07:46:50 GMT+0000 (Coordinated Universal Time),Thu Apr 21 2022 08:18:04 GMT+0000 (Coordinated Universal Time),Thu Apr 21 2022 08:45:15 GMT+0000 (Coordinated Universal Time),17,Детских садов ,6,Школ,2,"Парка, сквера",29,Мед. центров,48,Салонов красоты ,11
Пресненский ,presnenskiy,623d9555a6e491e90b6ab9bf,624fe2526676654f774eccd9,Fri Apr 08 2022 07:20:50 GMT+0000 (Coordinated Universal Time),Thu Apr 21 2022 08:17:27 GMT+0000 (Coordinated Universal Time),Thu Apr 21 2022 08:45:15 GMT+0000 (Coordinated Universal Time),53,Детских сада,25,Школ,3,Парка и Сквера,67,Мед. центров,100+,Салонов красоты ,6
Раменки,ramenki,623d9555a6e491e90b6ab9bf,623f678ff5a8f4a2a63afd43,Sat Mar 26 2022 19:20:47 GMT+0000 (Coordinated Universal Time),Thu Apr 21 2022 08:17:07 GMT+0000 (Coordinated Universal Time),Thu Apr 21 2022 08:45:15 GMT+0000 (Coordinated Universal Time),31,Детских садов ,20,Школ,2,Парка и Сквера,69,Мед. центров,40,Салонов красоты ,3
Савёловский,savyolovskiy,623d9555a6e491e90b6ab9bf,62500ce8c0dbf1091d4bb896,Fri Apr 08 2022 10:22:32 GMT+0000 (Coordinated Universal Time),Thu Jul 07 2022 04:53:14 GMT+0000 (Coordinated Universal Time),,0,Детских садов,0,Школ,0,Парков и Скверов,0,Мед. центров,0,Салонов красоты,13
